problem,library,execution_time
Promedus_31,JunctionTrees_v2,0.008044468
Promedus_31,merlin,0.013508100000000002
Promedus_31,libdai,0.04075
Promedus_35,TensorInference,0.016819424
Promedus_35,JunctionTrees_v1,0.004476074
Promedus_35,JunctionTrees_v2,0.007458855
Promedus_35,merlin,0.019750100000000003
Promedus_35,libdai,0.041815
Promedus_36,TensorInference,0.016921943
Promedus_36,JunctionTrees_v1,0.004475884
Promedus_36,JunctionTrees_v2,0.007513414
Promedus_36,merlin,0.0206649
Promedus_36,libdai,0.041819
Promedus_21,TensorInference,0.016778007
Promedus_21,JunctionTrees_v1,0.004639293
Promedus_21,JunctionTrees_v2,0.007632814
Promedus_21,merlin,0.007388100000000002
Promedus_21,libdai,0.042322000000000005
Promedus_13,TensorInference,0.029541716
Promedus_13,JunctionTrees_v1,0.004953478
Promedus_13,JunctionTrees_v2,0.013243084
Promedus_13,merlin,0.003375100000000006
Promedus_13,libdai,0.11549200000000001
Grids_12,TensorInference,0.007746389
Grids_12,JunctionTrees_v1,0.003914858
Grids_12,JunctionTrees_v2,0.003111878
Grids_12,merlin,0.0025830299999999996
Grids_12,libdai,0.008985
Promedus_15,TensorInference,0.014101382
Promedus_15,JunctionTrees_v1,0.006130017
Promedus_15,JunctionTrees_v2,0.007010823
Promedus_15,merlin,0.005538000000000001
Promedus_15,libdai,0.029973
CSP_12,TensorInference,0.014031293
CSP_12,JunctionTrees_v1,0.045990541
CSP_12,JunctionTrees_v2,0.009330517
CSP_12,merlin,0.09361309999999999
CSP_12,libdai,0.385809
Promedus_16,TensorInference,0.02131616
Promedus_16,JunctionTrees_v1,0.010461176
Promedus_16,JunctionTrees_v2,0.01099272
Promedus_16,merlin,0.014517999999999996
Promedus_16,libdai,0.08372199999999999
Segmentation_14,TensorInference,0.027077803
Segmentation_14,JunctionTrees_v1,0.081080019
Segmentation_14,JunctionTrees_v2,0.016962361
Segmentation_14,merlin,0.2077058
Segmentation_14,libdai,0.255369
Segmentation_11,TensorInference,0.028259051
Segmentation_11,JunctionTrees_v1,0.084125608
Segmentation_11,JunctionTrees_v2,0.019394531
Segmentation_11,merlin,0.1271128
Segmentation_11,libdai,0.23272800000000002
Segmentation_12,TensorInference,0.026794989
Segmentation_12,JunctionTrees_v1,0.057379508
Segmentation_12,JunctionTrees_v2,0.012600507
Segmentation_12,merlin,0.2894838
Segmentation_12,libdai,0.192432
Segmentation_16,TensorInference,0.027999694
Segmentation_16,JunctionTrees_v1,0.07462641
Segmentation_16,JunctionTrees_v2,0.016198688
Segmentation_16,merlin,0.19614900000000002
Segmentation_16,libdai,0.365842
Segmentation_15,TensorInference,0.02925634
Segmentation_15,JunctionTrees_v1,0.116284478
Segmentation_15,JunctionTrees_v2,0.02570422
Segmentation_15,merlin,0.42705919999999997
Segmentation_15,libdai,0.796933
Promedus_11,TensorInference,0.018923162
Promedus_11,JunctionTrees_v1,0.060759425
Promedus_11,JunctionTrees_v2,0.016688482
Promedus_11,merlin,10.202343
Promedus_11,libdai,1.6420270000000001
CSP_11,TensorInference,7.838831322
CSP_11,JunctionTrees_v1,9.774470139
CSP_11,JunctionTrees_v2,2.813537935
CSP_11,merlin,11.371059
CSP_11,libdai,20.0635
Segmentation_13,TensorInference,0.029684464
Segmentation_13,JunctionTrees_v1,0.152846624
Segmentation_13,JunctionTrees_v2,0.025954653
Segmentation_13,merlin,0.376959
Segmentation_13,libdai,0.281825
Promedus_34,TensorInference,0.01571726
Promedus_34,JunctionTrees_v1,0.059921996
Promedus_34,JunctionTrees_v2,0.010615307
Promedus_34,merlin,0.7961859
Promedus_34,libdai,0.09039900000000001
Promedus_28,TensorInference,0.016906606
Promedus_28,JunctionTrees_v1,0.042894316
Promedus_28,JunctionTrees_v2,0.009623295
Promedus_28,merlin,1.67144
Promedus_28,libdai,0.081354
